Fecha;Lifetime Total Likes;Daily New Likes;Daily Unlikes;Daily Page Engaged Users;Weekly Page Engaged Users;28 Days Page Engaged Users;Daily Total Reach;Weekly Total Reach;28 Days Total Reach;Daily Organic Reach;Weekly Organic Reach;28 Days Organic Reach;Daily Paid Reach;Weekly Paid Reach;28 Days Paid Reach;Daily Viral Reach;Weekly Viral Reach;28 Days Viral Reach;Daily Total Impressions;Weekly Total Impressions;28 Days Total Impressions;Daily Organic impressions;Weekly Organic impressions;28 Days Organic impressions;Daily Paid Impressions;Weekly Paid Impressions;28 Days Paid Impressions;Daily Viral impressions;Weekly Viral impressions;28 Days Viral impressions;Daily Logged-in Page Views;Weekly Logged-in Page Views;Daily Logged-in Page Views;Weekly Logged-in Page Views;Daily Reach Of Page Posts;Weekly Reach Of Page Posts;28 Days Reach Of Page Posts;Daily Organic Reach of Page posts;Weekly Organic Reach of Page posts;28 Days Organic Reach of Page posts;Daily Paid Reach of Page posts;Weekly Paid Reach of Page posts;28 Days Paid Reach of Page posts;Daily Viral Reach Of Page Posts;Weekly Viral Reach Of Page Posts;28 Days Viral Reach Of Page Posts;Daily Total Impressions of your posts;Weekly Total Impressions of your posts;28 Days Total Impressions of your posts;Daily Organic impressions of your posts;Weekly Organic impressions of your posts;28 Days Organic impressions of your posts;Daily Paid impressions of your posts;Weekly Paid impressions of your posts;28 Days Paid impressions of your posts;Daily Viral Impressions Of Your Posts;Weekly Viral Impressions Of Your Posts;28 Days Viral Impressions Of Your Posts;Daily Total Consumers;Weekly Total Consumers;28 Days Total Consumers;Daily Page Consumptions;Weekly Page Consumptions;28 Days Page Consumptions;Daily Negative Feedback;Weekly Negative Feedback;28 Days Negative Feedback;Daily Negative Feedback From Users;Weekly Negative Feedback From Users;28 Days Negative Feedback From Users;Daily Total Check-Ins;Weekly Total Check-Ins;28 Days Total Check-Ins;Daily Total Check-Ins;Weekly Total Check-Ins;28 Days Total Check-Ins;Daily Total Check-Ins Using Mobile Devices;Weekly Total Check-Ins Using Mobile Devices;28 Days Total Check-Ins Using Mobile Devices;Daily Total Check-Ins Using Mobile Devices;Weekly Total Check-Ins Using Mobile Devices;28 Days Total Check-Ins Using Mobile Devices;Daily Total Organic Views;Weekly Total Organic Views;28 Days Total Organic Views;Daily Total Promoted Views;Weekly Total Promoted Views;28 Days Total Promoted Views;Daily Total Organic 30-Second Views;Weekly Total Organic 30-Second Views;28 Days Total Organic 30-Second Views;Daily Paid 30-Second Views;Weekly Paid 30-Second Views;28 Days Paid 30-Second Views;Daily Total Video Views;Weekly Total Video Views;28 Days Total Video Views;Daily Total Auto-Played Views;Weekly Total Auto-Played Views;28 Days Total Auto-Played Views;Daily Total Clicked Views;Weekly Total Clicked Views;28 Days Total Clicked Views;Daily Video Repeats;Weekly Video Repeats;28 Days Video Repeats;Daily Total Unique Video Views;Weekly Total Unique Video Views;28 Days Total Unique Video Views;Daily Total 30-Second Views;Weekly Total 30-Second Views;28 Days Total 30-Second Views;Daily Auto-Played 30-Second Views;Weekly Auto-Played 30-Second Views;28 Days Auto-Played 30-Second Views;Daily Total Clicked 30-Second Views;Weekly Total Clicked 30-Second Views;28 Days Total Clicked 30-Second Views;Daily Total 30-Second Repeats;Weekly Total 30-Second Repeats;28 Days Total 30-Second Repeats;Daily Total Unique 30-Second Views;Weekly Total Unique 30-Second Views;28 Days Total Unique 30-Second Views;Daily Total: total action count per Page;Weekly Total: total action count per Page;Daily Total get direction click count per Page;Weekly Total get direction click count per Page;Daily Total get direction click count per Page;Weekly Total get direction click count per Page;Daily Total phone calls click count per Page;Weekly Total phone calls click count per Page;Daily Total phone calls click count per Page;Weekly Total phone calls click count per Page;Daily Total website click count per Page;Weekly Total website click count per Page;Daily Total website click count per Page;Weekly Total website click count per Page
;Lifetime: The total number of people who have liked your Page. (Unique Users);Daily: The number of new people who have liked your Page (Unique Users);Daily: The number of Unlikes of your Page (Unique Users);Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users);Weekly: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users);28 Days: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users);Daily: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users);Weekly: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users);28 Days: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users);Daily: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more. (Unique Users);Weekly: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more. (Unique Users);28 Days: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more. (Unique Users);Daily: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users);Weekly: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users);28 Days: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users);Daily:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users);Weekly:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users);28 Days:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users);Daily: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Total Count);Weekly: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Total Count);28 Days: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Total Count);Daily: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more. (Total Count);Weekly: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more. (Total Count);28 Days: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more. (Total Count);Daily: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count);Weekly: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count);28 Days: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count);Daily: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count);Weekly: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count);28 Days: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count);Daily: Page Views from users logged into Facebook (Total Count);Weekly: Page Views from users logged into Facebook (Total Count);Daily: Page Views from users logged into Facebook (Unique Users);Weekly: Page Views from users logged into Facebook (Unique Users);Daily: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users);Weekly: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users);28 Days: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users);Daily: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users);Weekly: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users);28 Days: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users);Daily: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users);Weekly: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users);28 Days: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users);Daily: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users);Weekly: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users);28 Days: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users);Daily: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count);Weekly: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count);28 Days: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count);Daily: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count);Weekly: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count);28 Days: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count);Daily: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count);Weekly: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count);28 Days: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count);Daily: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count);Weekly: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count);28 Days: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count);Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users);Weekly: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users);28 Days: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users);Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count);Weekly: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count);28 Days: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count);Daily: The number of people who have given negative feedback to your Page. (Unique Users);Weekly: The number of people who have given negative feedback to your Page. (Unique Users);28 Days: The number of people who have given negative feedback to your Page. (Unique Users);Daily: The number of times people have given negative feedback to your Page. (Total Count);Weekly: The number of times people have given negative feedback to your Page. (Total Count);28 Days: The number of times people have given negative feedback to your Page. (Total Count);Daily: Total check-ins at your Place (Total Count);Weekly: Total check-ins at your Place (Total Count);28 Days: Total check-ins at your Place (Total Count);Daily: Total check-ins at your Place (Unique Users);Weekly: Total check-ins at your Place (Unique Users);28 Days: Total check-ins at your Place (Unique Users);Daily: Total check-ins at your Place using mobile devices (Total Count);Weekly: Total check-ins at your Place using mobile devices (Total Count);28 Days: Total check-ins at your Place using mobile devices (Total Count);Daily: Total check-ins at your Place using mobile devices (Unique Users);Weekly: Total check-ins at your Place using mobile devices (Unique Users);28 Days: Total check-ins at your Place using mobile devices (Unique Users);Daily: Number of times a video has been viewed due to organic reach (Total Count);Weekly: Number of times a video has been viewed due to organic reach (Total Count);28 Days: Number of times a video has been viewed due to organic reach (Total Count);Daily: Number of times a promoted video has been viewed for more than 3 seconds (Total Count);Weekly: Number of times a promoted video has been viewed for more than 3 seconds (Total Count);28 Days: Number of times a promoted video has been viewed for more than 3 seconds (Total Count);Daily: Number of times the video has been viewed for at least 30s by organic reach (Total Count);Weekly: Number of times the video has been viewed for at least 30s by organic reach (Total Count);28 Days: Number of times the video has been viewed for at least 30s by organic reach (Total Count);Daily: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count);Weekly: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count);28 Days: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count);Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count);Weekly: Total number of times videos have been viewed for more than 3 seconds. (Total Count);28 Days: Total number of times videos have been viewed for more than 3 seconds. (Total Count);Daily: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count);Weekly: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count);28 Days: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count);Daily: Number of times a video has been viewed after the user clicked play (Total Count);Weekly: Number of times a video has been viewed after the user clicked play (Total Count);28 Days: Number of times a video has been viewed after the user clicked play (Total Count);Daily: Number of times the video has been seen outside the first play (Total Count);Weekly: Number of times the video has been seen outside the first play (Total Count);28 Days: Number of times the video has been seen outside the first play (Total Count);Daily: Metric showing videos played for unique people for more than 3 seconds aggregated at the page level (Unique Users);Weekly: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users);28 Days: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users);Daily: Total number of times page's videos was viewed for at least 30 seconds. (Total Count);Weekly: Total number of times page's videos was viewed for at least 30 seconds. (Total Count);28 Days: Total number of times page's videos was viewed for at least 30 seconds. (Total Count);Daily: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count);Weekly: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count);28 Days: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count);Daily: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count);Weekly: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count);28 Days: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count);Daily: Number of times a video has been viewed for at least 30s outside the first play (Total Count);Weekly: Number of times a video has been viewed for at least 30s outside the first play (Total Count);28 Days: Number of times a video has been viewed for at least 30s outside the first play (Total Count);Daily: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users);Weekly: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users);28 Days: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users);Daily: The number of clicks on your Page's contact info and call-to-action button.;Weekly: The number of clicks on your Page's contact info and call-to-action button.;Daily: Total get direction click count per Page;Weekly: Total get direction click count per Page;Daily: Total get direction click count per Page  (Unique Users);Weekly: Total get direction click count per Page (Unique Users);Daily: Total phone calls click count per Page;Weekly: Total phone calls click count per Page;Daily: Total phone calls click count per Page (Unique Users);Weekly: Total phone calls click count per Page (Unique Users);Daily: Total website click count per Page;Weekly: Total website click count per Page;Daily: Total website click count per Page (Unique Users);Weekly: Total website click count per Page (Unique Users)
4/1/19;25840;2;2;61;1518;3601;7248;95475;177048;553;2193;5129;6734;93697;173721;167;1157;2963;8827;188322;441378;811;4970;13733;8011;183279;427419;245;1923;5562;5;73;2;13;7248;95429;177012;551;2187;4991;6734;93697;173721;164;1145;2942;8820;188232;441097;809;4953;13678;8011;183279;427419;243;1906;5507;39;1333;3264;42;1678;4240;2;2;3;2;4;11;;;;;;;;;;;;;6;132;755;;;;1;43;190;;;;6;132;755;4;85;628;2;47;127;1;69;286;5;63;469;1;43;190;1;26;143;;17;47;;24;75;1;19;115;;7;;;;;;;;;;;;
4/2/19;25842;5;2;187;1476;3654;20308;94412;175798;193;2082;5142;20211;92673;172667;115;1143;2942;24047;185377;443649;328;4752;13769;23711;180552;429646;198;1981;5645;8;73;3;11;20308;94368;175763;191;2079;5126;20211;92673;172667;113;1134;2921;24037;185291;443361;326;4739;13715;23711;180552;429646;196;1968;5591;155;1307;3309;174;1619;4239;;2;3;;4;11;;;;;;;;;;;;;15;112;755;;;;9;35;193;;;;15;112;755;13;78;635;2;34;120;6;54;294;9;58;461;9;35;193;7;24;145;2;11;48;3;16;78;6;19;115;1;6;;;;;;;;;;;;
4/3/19;25845;4;1;232;1485;3684;23289;94282;171660;380;2085;4969;23049;92493;168637;82;1095;2900;30104;182950;444009;585;5072;14157;29512;177808;429617;113;1942;5599;7;70;5;13;23289;94237;171627;380;2082;4969;23049;92493;168637;81;1086;2880;30096;182867;443726;584;5059;14109;29512;177808;429617;112;1929;5551;188;1309;3319;223;1609;4263;;2;3;;4;11;;;;;;;;;;;;;20;117;747;;;;5;33;186;;;;20;117;747;13;83;632;7;34;115;10;58;288;10;59;459;5;33;186;4;25;142;1;8;44;;12;71;5;21;115;;6;;;;;;;;;;;;
4/4/19;25849;5;;242;1468;3720;24721;95154;173227;194;2118;5157;24521;92741;169887;125;1107;2933;31441;185008;451663;437;5145;14426;30996;179800;437005;181;1956;5680;8;63;4;14;24721;95154;173193;192;2115;5140;24521;92741;169887;123;1100;2908;31430;184931;451382;434;5131;14377;30996;179800;437005;178;1942;5631;201;1280;3334;234;1555;4338;1;2;3;1;5;12;;;;;;;;;;;;;22;109;744;;;;4;31;186;;;;22;109;744;16;78;629;6;31;115;12;53;289;10;56;455;4;31;186;4;25;142;;6;44;1;10;72;3;21;114;;5;;;;;;;;;;;;
4/5/19;25851;4;1;127;1326;3714;14669;91647;171104;697;1972;5335;14161;90318;167736;292;1090;3076;18381;175992;450153;1271;4835;15572;17098;171107;434348;593;2114;6184;12;50;3;13;14669;91647;171071;696;1961;5317;14161;90318;167736;291;1081;3050;18368;175930;449870;1270;4823;15522;17098;171107;434348;592;2102;6134;106;1154;3340;124;1391;4337;1;2;3;1;4;13;;;;;;;;;;;;;11;104;741;;;;5;31;185;;;;11;104;741;7;71;629;4;33;112;5;52;287;6;52;454;5;31;185;3;23;144;2;8;41;2;9;70;3;22;115;1;6;;;;;;;;;;;;
4/6/19;25848;;2;68;1088;3648;9041;82407;170923;279;1770;5437;8812;81082;167308;193;945;3154;12272;159102;454150;431;4468;15958;11840;154593;437958;306;1966;6446;1;41;1;11;9041;82407;170889;276;1758;5419;8812;81082;167308;190;934;3126;12268;159046;453866;428;4453;15908;11840;154593;437958;303;1951;6396;54;931;3284;59;1147;4322;;2;3;;4;13;;;;;;;;;;;;;3;95;738;;;;;27;182;;;;3;95;738;1;64;627;2;31;111;1;48;289;2;47;449;;27;182;;20;143;;7;39;;8;69;;19;113;;6;;;;;;;;;;;;
4/7/19;25847;2;3;60;901;3595;7245;71635;168040;139;1675;5468;7124;70408;164301;100;834;3192;9223;134295;454938;198;4061;16103;9024;130192;438601;146;1782;6555;1;42;1;11;7245;71635;167899;136;1666;5452;7124;70408;164301;97;823;3168;9218;134237;454651;194;4045;16050;9024;130192;438601;142;1766;6502;51;753;3259;61;917;4318;;2;3;;4;13;;;;;;;;;;;;;5;82;736;;;;;24;182;;;;5;82;736;3;57;624;2;25;112;;40;285;5;42;451;;24;182;;19;143;;5;39;;8;69;;16;113;;2;;;;;;;;;;;;
4/8/19;25848;1;;80;928;3618;9845;73112;170632;520;1650;5469;9322;71974;167337;168;854;3284;11693;137161;457076;778;4028;15976;10903;133084;440864;261;1798;6732;12;49;4;14;9831;73112;170618;517;1637;5454;9322;71974;167337;166;841;3259;11679;137096;456785;776;4012;15921;10903;133084;440864;259;1782;6677;64;778;3264;69;944;4304;2;2;4;2;4;15;;;;;;;;;;;;;24;100;754;;;;8;31;187;;;;24;100;754;20;73;639;4;27;115;13;52;299;11;48;455;8;31;187;8;26;148;;5;39;4;12;72;4;19;115;;2;;;;;;;;;;;;
4/9/19;25848;1;1;173;934;3684;14813;71864;174843;1141;2249;5818;13912;70309;171280;489;1211;3566;17977;131091;462147;1717;5417;16542;16248;125621;445376;692;2292;6879;12;53;6;18;14800;71864;174828;1138;2237;5794;13912;70309;171280;486;1196;3527;17961;131020;461862;1713;5399;16486;16248;125621;445376;688;2274;6823;134;785;3324;154;924;4294;;2;4;;4;12;;;;;;;;;;;;;9;94;634;;;;1;23;151;;;;9;94;634;5;65;524;4;29;110;3;46;262;6;48;372;1;23;151;;19;117;1;4;34;;8;65;1;15;86;;1;;;;;;;;;;;;
